X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8850812.998,5404007.455,113,GO-20051183577,2005/08/20 04:00:00+00,2005,August,20,Saturday,232,D22,Other,18,New Toronto,18,New Toronto (18),-79.50820593,43.60168462
-8818792.224,5425730.221,114,GO-20051189864,2005/08/25 04:00:00+00,2005,August,25,Thursday,237,D42,Shooting,139,Scarborough Village,139,Scarborough Village (139),-79.22055842,43.74282882
-8850959.517,5425158.906,115,GO-2005761120,2005/08/30 04:00:00+00,2005,August,30,Tuesday,242,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.50952213,43.73912094
-8835441.227,5412384.891,116,GO-20051178414,2005/08/31 04:00:00+00,2005,August,31,Wednesday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.37011896,43.65615654
-8832494.986,5425335.618,117,GO-20051389771,2005/09/06 04:00:00+00,2005,September,6,Tuesday,249,D33,Stabbing,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.34365243,43.74026784
-8849968.985,5419869.081,118,GO-20051101797,2005/09/08 04:00:00+00,2005,September,8,Thursday,251,D31,Shooting,28,Rustic,28,Rustic (28),-79.50062403,43.70477862
-8838680.171,5409168.036,119,GO-2005739598,2005/09/09 04:00:00+00,2005,September,9,Friday,252,D14,Shooting,163,Fort York-Liberty Village,82,Niagara (82),-79.39921489,43.63524569
-8851543.01,5429487.035,120,GO-20051096519,2005/09/10 04:00:00+00,2005,September,10,Saturday,253,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51476374,43.76720514
-8851718.535,5427125.998,121,GO-20051203047,2005/09/13 04:00:00+00,2005,September,13,Tuesday,256,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5163405,43.75188656
-8842632.778,5409507.737,122,GO-20051139553,2005/09/16 04:00:00+00,2005,September,16,Friday,259,D14,Shooting,85,South Parkdale,85,South Parkdale (85),-79.43472176,43.63745422
